RMSD-backbone-A-Gliadin-100SOL-0ETO.xvg,RMSD-backbone-A-Gliadin-100SOL-0ETO.xvg,RMSD-backbone-A-Gliadin-90SOL-10ETO.xvg,RMSD-backbone-A-Gliadin-90SOL-10ETO.xvg,RMSD-backbone-30percent.xvg,RMSD-backbone-30percent.xvg,RMSD-backbone-A-Gliadin-50ETO.xvg,RMSD-backbone-A-Gliadin-50ETO.xvg,RMSD-backbone-70percent.xvg,RMSD-backbone-70percent.xvg
1.46,0.10484,1.46,0.53626,1.46,0.1238838,1.46,0.1021953,1.46,0.1057884
1.47,0.1074,1.47,0.53555,1.47,0.1140438,1.47,0.1101758,1.47,0.1016299
1.48,0.10068,1.48,0.52246,1.48,0.1226443,1.48,0.1155812,1.48,0.1042686
1.49,0.10438,1.49,0.51989,1.4900001,0.1260807,1.4900001,0.1031552,1.4900001,0.1002612
1.5,0.10718,1.5,0.52031,1.5000001,0.1169107,1.5000001,0.1013915,1.5000001,0.1054371
1.51,0.10578,1.51,0.51529,1.5100001,0.1043838,1.5100001,0.1001356,1.5100001,0.1055176
1.52,0.09933,1.52,0.53042,1.5200001,0.1031741,1.5200001,0.1066888,1.5200001,0.1075498
1.53,0.09828,1.53,0.54008,1.5300001,0.1056667,1.5300001,0.1017023,1.5300001,0.1098404
1.54,0.09749,1.54,0.53071,1.5400001,0.1244968,1.5400001,0.1068826,1.5400001,0.1054263
1.55,0.10828,1.55,0.53545,1.5500001,0.1199059,1.5500001,0.1163056,1.5500001,0.1023502
1.56,0.11235,1.56,0.54617,1.5600001,0.1301004,1.5600001,0.1086959,1.5600001,0.115607
1.57,0.11078,1.57,0.52964,1.5700001,0.1192426,1.5700001,0.1097697,1.5700001,0.1151327
1.58,0.10414,1.58,0.51786,1.58,0.1276271,1.58,0.1113801,1.58,0.1068164
1.59,0.12147,1.59,0.54596,1.59,0.119209,1.59,0.100364,1.59,0.1080275
1.6,0.10181,1.6,0.52785,1.6,0.1227076,1.6,0.1084861,1.6,0.1074753
1.61,0.10366,1.61,0.53489,1.6100001,0.1274424,1.6100001,0.1065912,1.6100001,0.1113808
1.62,0.10912,1.62,0.54655,1.6200001,0.1211148,1.6200001,0.1162866,1.6200001,0.1183617
1.63,0.1008,1.63,0.53717,1.6300001,0.1341728,1.6300001,0.112923,1.6300001,0.1131654
1.64,0.11609,1.64,0.52026,1.6400001,0.1129207,1.6400001,0.1135482,1.6400001,0.1076288
1.65,0.11334,1.65,0.52658,1.6500001,0.1155954,1.6500001,0.1119965,1.6500001,0.1095355
1.66,0.11996,1.66,0.51314,1.6600001,0.1075105,1.6600001,0.1094194,1.6600001,0.1087622
1.67,0.11913,1.67,0.53835,1.6700001,0.1034257,1.6700001,0.1089246,1.6700001,0.1156802
1.68,0.10197,1.68,0.52321,1.6800001,0.1096426,1.6800001,0.1088864,1.6800001,0.1120895
1.69,0.12482,1.69,0.49584,1.6900001,0.1099141,1.6900001,0.1074462,1.6900001,0.111255
1.7,0.12158,1.7,0.48153,1.7,0.1181402,1.7,0.1143738,1.7,0.1025642
1.71,0.12446,1.71,0.51069,1.71,0.1056072,1.71,0.103496,1.71,0.103041
1.72,0.14603,1.72,0.50355,1.72,0.1058339,1.72,0.1090377,1.72,0.1059519
1.73,0.11328,1.73,0.52881,1.7300001,0.117982,1.7300001,0.0988894,1.7300001,0.1031519
1.74,0.11403,1.74,0.52506,1.7400001,0.1035441,1.7400001,0.1048156,1.7400001,0.1106391
1.75,0.10496,1.75,0.52259,1.7500001,0.1199146,1.7500001,0.1002981,1.7500001,0.1043154
1.76,0.11804,1.76,0.52404,1.7600001,0.1128456,1.7600001,0.1073257,1.7600001,0.1100042
1.77,0.12186,1.77,0.53428,1.7700001,0.1157124,1.7700001,0.0997936,1.7700001,0.1087457
1.78,0.11352,1.78,0.53796,1.7800001,0.0998719,1.7800001,0.1073663,1.7800001,0.1088967
1.79,0.11093,1.79,0.55464,1.7900001,0.1012073,1.7900001,0.1066339,1.7900001,0.1068809
1.8,0.08418,1.8,0.55034,1.8000001,0.0996244,1.8000001,0.1048787,1.8000001,0.11385
1.81,0.10443,1.81,0.55293,1.8100001,0.1075257,1.8100001,0.1028739,1.8100001,0.1071689
1.82,0.10708,1.82,0.56048,1.8200001,0.1139453,1.8200001,0.1114968,1.8200001,0.1113613
1.83,0.10462,1.83,0.56066,1.83,0.1073676,1.83,0.1116273,1.83,0.1101521
1.84,0.10488,1.84,0.57257,1.84,0.1197224,1.84,0.1071171,1.84,0.1199565
1.85,0.12083,1.85,0.56829,1.8500001,0.1229391,1.8500001,0.1154499,1.8500001,0.1166162
1.86,0.12451,1.86,0.54414,1.8600001,0.1253762,1.8600001,0.1189253,1.8600001,0.1178714
1.87,0.10168,1.87,0.5394,1.8700001,0.1239193,1.8700001,0.1137897,1.8700001,0.118747
1.88,0.11233,1.88,0.51028,1.8800001,0.1119656,1.8800001,0.1120715,1.8800001,0.1125569
1.89,0.11507,1.89,0.51309,1.8900001,0.1145731,1.8900001,0.1025193,1.8900001,0.1146084
1.9,0.11371,1.9,0.54451,1.9000001,0.1100564,1.9000001,0.1201528,1.9000001,0.0991252
1.91,0.10629,1.91,0.54887,1.9100001,0.1111412,1.9100001,0.1132023,1.9100001,0.1140348
1.92,0.12848,1.92,0.56068,1.9200001,0.1138021,1.9200001,0.1055503,1.9200001,0.1107591
1.93,0.09769,1.93,0.58489,1.9300001,0.1165509,1.9300001,0.1076098,1.9300001,0.1141141
1.94,0.1145,1.94,0.57444,1.9400001,0.1142446,1.9400001,0.1118433,1.9400001,0.1153034
1.95,0.09824,1.95,0.57606,1.95,0.1209386,1.95,0.1127198,1.95,0.1174614
1.96,0.0935,1.96,0.58278,1.96,0.116685,1.96,0.1084532,1.96,0.1129513
1.97,0.10091,1.97,0.59046,1.9700001,0.106256,1.9700001,0.1102392,1.9700001,0.1088704
1.98,0.09714,1.98,0.58077,1.9800001,0.1083885,1.9800001,0.1092085,1.9800001,0.1132919
1.99,0.10008,1.99,0.57215,1.9900001,0.1241114,1.9900001,0.114992,1.9900001,0.1082151
2,0.09544,2,0.58128,2,0.1274036,2,0.1177975,2,0.1138588
2.01,0.10236,2.01,0.58153,2.01,0.1324484,2.01,0.1214621,2.01,0.1099049
2.02,0.10088,2.02,0.56131,2.02,0.1225041,2.02,0.1254778,2.02,0.1137414
2.03,0.09861,2.03,0.60174,2.0300002,0.1315059,2.0300002,0.1222375,2.0300002,0.1087388
2.04,0.10913,2.04,0.58663,2.0400002,0.1182907,2.0400002,0.1185478,2.0400002,0.110421
2.05,0.1039,2.05,0.57297,2.0500002,0.1253134,2.0500002,0.1110289,2.0500002,0.1120461
2.06,0.10525,2.06,0.55656,2.0600002,0.1318546,2.0600002,0.1125055,2.0600002,0.1082233
2.07,0.12817,2.07,0.56025,2.0700002,0.1364764,2.0700002,0.122421,2.0700002,0.1120108
2.08,0.10195,2.08,0.56915,2.0800002,0.1325347,2.0800002,0.1168118,2.0800002,0.1145091
2.09,0.10299,2.09,0.56234,2.0900002,0.1288751,2.0900002,0.1142995,2.0900002,0.1194002
2.1,0.11396,2.1,0.55175,2.1000001,0.1228739,2.1000001,0.1172155,2.1000001,0.1096446
2.11,0.10886,2.11,0.56177,2.1100001,0.1341692,2.1100001,0.1161739,2.1100001,0.1058691
2.12,0.10535,2.12,0.56109,2.1200001,0.129031,2.1200001,0.1133684,2.1200001,0.117811
2.13,0.10909,2.13,0.56316,2.1300001,0.1236844,2.1300001,0.1202467,2.1300001,0.1188043
2.14,0.10997,2.14,0.55633,2.1400001,0.1218669,2.1400001,0.113229,2.1400001,0.1270268
2.15,0.10805,2.15,0.57613,2.1500001,0.1178924,2.1500001,0.1119838,2.1500001,0.1309445
2.16,0.11224,2.16,0.54109,2.1600001,0.1222122,2.1600001,0.1164368,2.1600001,0.1418092
2.17,0.10783,2.17,0.53807,2.1700001,0.1146547,2.1700001,0.111563,2.1700001,0.1294354
2.18,0.12344,2.18,0.54592,2.1800001,0.1221667,2.1800001,0.1162693,2.1800001,0.1379604
2.19,0.10642,2.19,0.56258,2.1900001,0.1233038,2.1900001,0.1133954,2.1900001,0.1237113
2.2,0.10764,2.2,0.58508,2.2,0.1318873,2.2,0.1180583,2.2,0.1216457
2.21,0.11423,2.21,0.57982,2.21,0.1455797,2.21,0.1262125,2.21,0.1368763
2.22,0.10197,2.22,0.59875,2.22,0.1276899,2.22,0.1263189,2.22,0.1409938
2.23,0.10837,2.23,0.61463,2.23,0.1231294,2.23,0.1233573,2.23,0.1253519
2.24,0.10303,2.24,0.61028,2.24,0.1170895,2.24,0.1256746,2.24,0.1151351
2.25,0.10641,2.25,0.61874,2.25,0.1143979,2.25,0.1076018,2.25,0.1237347
2.26,0.11013,2.26,0.61308,2.26,0.1162003,2.26,0.1209859,2.26,0.1259283
2.27,0.10295,2.27,0.63596,2.2700002,0.1126953,2.2700002,0.1266187,2.2700002,0.1199493
2.28,0.10473,2.28,0.63328,2.2800002,0.116557,2.2800002,0.1274629,2.2800002,0.1244122
2.29,0.10071,2.29,0.64,2.2900002,0.1101486,2.2900002,0.1291498,2.2900002,0.1354953
2.3,0.10476,2.3,0.66495,2.3000002,0.1154345,2.3000002,0.1128085,2.3000002,0.1310192
2.31,0.1024,2.31,0.68908,2.3100002,0.1087334,2.3100002,0.1072723,2.3100002,0.1286798
2.32,0.10731,2.32,0.6968,2.3200002,0.1183556,2.3200002,0.1152622,2.3200002,0.1319439
2.33,0.11302,2.33,0.66972,2.3300002,0.1101989,2.3300002,0.1057005,2.3300002,0.1188724
2.34,0.11992,2.34,0.67014,2.3400002,0.1162762,2.3400002,0.115241,2.3400002,0.1231544
2.35,0.10431,2.35,0.6885,2.3500001,0.1215325,2.3500001,0.1165849,2.3500001,0.1194152
2.36,0.10784,2.36,0.69409,2.3600001,0.1248527,2.3600001,0.111026,2.3600001,0.125343
2.37,0.11024,2.37,0.67217,2.3700001,0.1130507,2.3700001,0.1027324,2.3700001,0.1137799
2.38,0.10111,2.38,0.69296,2.3800001,0.1219333,2.3800001,0.1096431,2.3800001,0.128202
2.39,0.10254,2.39,0.67939,2.3900001,0.1077279,2.3900001,0.1105497,2.3900001,0.1212654
2.4,0.10358,2.4,0.66422,2.4000001,0.110484,2.4000001,0.1063059,2.4000001,0.1178165
2.41,0.10677,2.41,0.64546,2.4100001,0.1121146,2.4100001,0.1175541,2.4100001,0.1076175
2.42,0.10821,2.42,0.67359,2.4200001,0.1139987,2.4200001,0.1105423,2.4200001,0.1067996
2.43,0.10679,2.43,0.66588,2.4300001,0.1059105,2.4300001,0.1125201,2.4300001,0.1134728
2.44,0.11939,2.44,0.69097,2.4400001,0.1106122,2.4400001,0.1096959,2.4400001,0.1074052
2.45,0.11248,2.45,0.65902,2.45,0.1044213,2.45,0.114793,2.45,0.1068471
2.46,0.10876,2.46,0.6521,2.46,0.1045037,2.46,0.1075254,2.46,0.1083271
2.47,0.10439,2.47,0.67487,2.47,0.0994357,2.47,0.1091932,2.47,0.1184727
2.48,0.10826,2.48,0.6488,2.48,0.1038736,2.48,0.1213006,2.48,0.1176555
2.49,0.10173,2.49,0.64292,2.49,0.1101577,2.49,0.1168884,2.49,0.1235505
