48601-RMSD-potein-potein-xvgx,48601-RMSD-potein-potein-xvgy1,4860-rmsd-potein-potein.xvg,4860-rmsd-potein-potein-xvgy2,5018-rmsd-potein-potein.xvg,5018-rmsd-potein-xvgy3,,5018-RMSD-lig-ligx,5018-RMSD-lig-ligy1,48601-RMSD-lig-lig.xvg,48601-RMSD-lig-ligy2,4860-rmsd-lig-lig.xvg,4860-rmsd-lig-ligy3,,4860-rmsd-backbond-backbond.xvg,4860-rmsd-backbond-backbond.xvg,48601-rmsd-backbond.xvg,48601-rmsd-backbond.xvg,5018-RMSD-backbond-backbond.xvg,5018-RMSD-backbond-backbond.xvg
0.5700001,0.2016033,0.5700001,0.3255413,0.5700001,0.2177196,,0.5700001,0.1361674,0.5700001,0.1026547,0.5700001,0.1223488,,0.5700001,0.2844796,0.5700001,0.150016,0.5700001,0.1717774
0.58,0.2236421,0.58,0.3256347,0.58,0.2085448,,0.58,0.1394516,0.58,0.1255278,0.58,0.098547,,0.58,0.2833476,0.58,0.1805388,0.58,0.1619034
0.59,0.2281197,0.59,0.324579,0.59,0.2071327,,0.59,0.1455545,0.59,0.0988894,0.59,0.1281984,,0.59,0.2818212,0.59,0.1856161,0.59,0.1603979
0.6,0.2418508,0.6,0.330096,0.6,0.206376,,0.6,0.1478542,0.6,0.0972249,0.6,0.1221436,,0.6,0.2873936,0.6,0.2027629,0.6,0.1597611
0.61,0.241532,0.61,0.3306912,0.61,0.2002763,,0.61,0.1527781,0.61,0.1010609,0.61,0.1568526,,0.61,0.2893197,0.61,0.2006313,0.61,0.1572542
0.62,0.2282329,0.62,0.3383285,0.62,0.2068733,,0.62,0.1410437,0.62,0.1000313,0.62,0.1801807,,0.62,0.2966951,0.62,0.1855774,0.62,0.1637803
0.6300001,0.2471817,0.6300001,0.3479085,0.6300001,0.2145583,,0.6300001,0.1371156,0.6300001,0.1194091,0.6300001,0.162321,,0.6300001,0.3076807,0.6300001,0.2064967,0.6300001,0.1729819
0.64,0.2402162,0.64,0.3438861,0.64,0.2060819,,0.64,0.1510591,0.64,0.1443161,0.64,0.1369451,,0.64,0.3022406,0.64,0.1956031,0.64,0.1661396
0.65,0.2315705,0.65,0.355087,0.65,0.2112596,,0.65,0.1472825,0.65,0.1403827,0.65,0.1414252,,0.65,0.3157927,0.65,0.1909793,0.65,0.1715241
0.66,0.238309,0.66,0.3502819,0.66,0.207551,,0.66,0.1531433,0.66,0.1646231,0.66,0.1360634,,0.66,0.3111963,0.66,0.1946097,0.66,0.1673161
0.67,0.2414862,0.67,0.3578993,0.67,0.1942082,,0.67,0.1438488,0.67,0.1492769,0.67,0.1417526,,0.67,0.3186954,0.67,0.2010515,0.67,0.1487902
0.68,0.2330633,0.68,0.3619536,0.68,0.2116781,,0.68,0.1469327,0.68,0.1646954,0.68,0.1359376,,0.68,0.322931,0.68,0.1913494,0.68,0.1689718
0.6900001,0.2274845,0.6900001,0.3669798,0.6900001,0.2186404,,0.6900001,0.1473931,0.6900001,0.1609668,0.6900001,0.1316659,,0.6900001,0.3273007,0.6900001,0.1834514,0.6900001,0.1772098
0.7,0.2384616,0.7,0.3618519,0.7,0.2128523,,0.7,0.1354127,0.7,0.1178562,0.7,0.1187033,,0.7,0.3227103,0.7,0.1957068,0.7,0.1708831
0.71,0.2345842,0.71,0.3603637,0.71,0.2027241,,0.71,0.1411689,0.71,0.1315445,0.71,0.1236261,,0.71,0.3211259,0.71,0.18695,0.71,0.1570204
0.72,0.2555437,0.72,0.3538795,0.72,0.2001189,,0.72,0.158181,0.72,0.1397846,0.72,0.1409846,,0.72,0.3143193,0.72,0.2086797,0.72,0.1528998
0.73,0.2411487,0.73,0.3479693,0.73,0.2020248,,0.73,0.1529258,0.73,0.1303075,0.73,0.1684445,,0.73,0.307588,0.73,0.201132,0.73,0.1550213
0.74,0.2245388,0.74,0.3551592,0.74,0.2011071,,0.74,0.1410911,0.74,0.1281279,0.74,0.1368623,,0.74,0.3151595,0.74,0.1839087,0.74,0.1535099
0.7500001,0.2224323,0.7500001,0.3615189,0.7500001,0.1984118,,0.7500001,0.1384625,0.7500001,0.140449,0.7500001,0.1243834,,0.7500001,0.3206614,0.7500001,0.1801337,0.7500001,0.152394
0.7600001,0.2173291,0.7600001,0.3540019,0.7600001,0.2023579,,0.7600001,0.1464907,0.7600001,0.0925383,0.7600001,0.1141629,,0.7600001,0.3117087,0.7600001,0.1744809,0.7600001,0.1556982
0.77,0.2214429,0.77,0.3543622,0.77,0.2038319,,0.77,0.1497344,0.77,0.1173097,0.77,0.1364505,,0.77,0.3122315,0.77,0.1722196,0.77,0.1577133
0.78,0.2359973,0.78,0.3539677,0.78,0.2007869,,0.78,0.1458814,0.78,0.0851125,0.78,0.1246616,,0.78,0.312529,0.78,0.1897831,0.78,0.1531702
0.79,0.2358086,0.79,0.3455367,0.79,0.2112246,,0.79,0.1458423,0.79,0.1231815,0.79,0.1027942,,0.79,0.3032163,0.79,0.1921118,0.79,0.169522
0.8,0.2232832,0.8,0.353402,0.8,0.2045768,,0.8,0.1447928,0.8,0.0965281,0.8,0.1342621,,0.8,0.3110137,0.8,0.1771951,0.8,0.1576181
0.8100001,0.2192704,0.8100001,0.3598969,0.8100001,0.210279,,0.8100001,0.1422627,0.8100001,0.1188353,0.8100001,0.1372363,,0.8100001,0.3176158,0.8100001,0.1755722,0.8100001,0.1667254
0.8200001,0.2241389,0.8200001,0.3582075,0.8200001,0.2238111,,0.8200001,0.1348814,0.8200001,0.0847708,0.8200001,0.1114734,,0.8200001,0.316175,0.8200001,0.1811509,0.8200001,0.1852119
0.83,0.238319,0.83,0.3657904,0.83,0.2191244,,0.83,0.145302,0.83,0.0947228,0.83,0.136375,,0.83,0.3245389,0.83,0.1965687,0.83,0.1743116
0.84,0.2267663,0.84,0.365549,0.84,0.2216045,,0.84,0.1506478,0.84,0.0948069,0.84,0.1309462,,0.84,0.3243333,0.84,0.1808995,0.84,0.1773632
0.85,0.2425482,0.85,0.3639012,0.85,0.2334993,,0.85,0.1441056,0.85,0.1157436,0.85,0.1371824,,0.85,0.3226862,0.85,0.2017222,0.85,0.1925055
0.86,0.2400924,0.86,0.3664047,0.86,0.2343663,,0.86,0.1558488,0.86,0.1165405,0.86,0.1303658,,0.86,0.3253803,0.86,0.1987563,0.86,0.1932303
0.8700001,0.2433771,0.8700001,0.3658259,0.8700001,0.2250993,,0.8700001,0.1369439,0.8700001,0.1201413,0.8700001,0.1303533,,0.8700001,0.3249174,0.8700001,0.2001103,0.8700001,0.1814447
0.8800001,0.2412605,0.8800001,0.3676285,0.8800001,0.2269002,,0.8800001,0.1538603,0.8800001,0.1328616,0.8800001,0.1136727,,0.8800001,0.3262558,0.8800001,0.1992682,0.8800001,0.1833976
0.89,0.2301958,0.89,0.3682924,0.89,0.2264677,,0.89,0.1487429,0.89,0.1540198,0.89,0.1295915,,0.89,0.3273291,0.89,0.1880912,0.89,0.1822235
0.9,0.2280929,0.9,0.3777124,0.9,0.2198175,,0.9,0.1449989,0.9,0.1221607,0.9,0.1084684,,0.9,0.3378015,0.9,0.1810219,0.9,0.1780178
0.91,0.2361158,0.91,0.3780972,0.91,0.216454,,0.91,0.1386623,0.91,0.1210443,0.91,0.1219894,,0.91,0.3385389,0.91,0.1893471,0.91,0.1726762
0.92,0.2356286,0.92,0.3710639,0.92,0.2174656,,0.92,0.1459737,0.92,0.1193505,0.92,0.1243702,,0.92,0.3302977,0.92,0.18867,0.92,0.1744794
0.9300001,0.2349944,0.9300001,0.3617878,0.9300001,0.2249159,,0.9300001,0.1407216,0.9300001,0.1188103,0.9300001,0.0961819,,0.9300001,0.3212445,0.9300001,0.1862265,0.9300001,0.1831242
0.9400001,0.2361519,0.9400001,0.3651626,0.9400001,0.240465,,0.9400001,0.1433745,0.9400001,0.1167419,0.9400001,0.0702449,,0.9400001,0.3239718,0.9400001,0.193089,0.9400001,0.2023436
0.95,0.254729,0.95,0.365288,0.95,0.2335736,,0.95,0.1423919,0.95,0.1259901,0.95,0.116613,,0.95,0.3245926,0.95,0.2124247,0.95,0.1941571
0.96,0.2338313,0.96,0.3682889,0.96,0.2348143,,0.96,0.1375933,0.96,0.1376462,0.96,0.1360017,,0.96,0.327632,0.96,0.1908882,0.96,0.1943257
0.97,0.2379124,0.97,0.3607748,0.97,0.2294665,,0.97,0.1395079,0.97,0.1602094,0.97,0.1362974,,0.97,0.3182402,0.97,0.1920449,0.97,0.1913005
0.98,0.2350352,0.98,0.3656435,0.98,0.24446,,0.98,0.1532521,0.98,0.1375319,0.98,0.1135923,,0.98,0.3243811,0.98,0.1849543,0.98,0.2083741
0.9900001,0.2441663,0.9900001,0.3634354,0.9900001,0.2384163,,0.9900001,0.1446465,0.9900001,0.1372689,0.9900001,0.1159968,,0.9900001,0.3213399,0.9900001,0.196065,0.9900001,0.199849
