RMSD-md50ns-complex-00696-protein.xvg,RMSD-md50ns-complex-00696-protein.xvg,RMSD-md50ns-complex-00320-protein.xvg,RMSD-md50ns-complex-00320-protein.xvg,RMSD-md50ns-complex-04868-protein.xvg,RMSD-md50ns-complex-04868-protein.xvg
1.95,0.2470268,1.95,0.2521442,1.95,0.2987644
1.96,0.2496249,1.96,0.2584786,1.96,0.2832284
1.9700001,0.2530227,1.9700001,0.2840329,1.9700001,0.3035965
1.9800001,0.2393873,1.9800001,0.2986527,1.9800001,0.2982691
1.9900001,0.2550414,1.9900001,0.322848,1.9900001,0.2845839
2,0.2421219,2,0.3264965,2,0.2842644
2.01,0.2497329,2.01,0.3516313,2.01,0.2778571
2.02,0.2514459,2.02,0.3377579,2.02,0.293329
2.0300002,0.2393976,2.0300002,0.3119915,2.0300002,0.2916181
2.0400002,0.2536703,2.0400002,0.2992787,2.0400002,0.2911285
2.0500002,0.2512244,2.0500002,0.3080363,2.0500002,0.2898477
2.0600002,0.2455286,2.0600002,0.3099675,2.0600002,0.2813242
2.0700002,0.2349579,2.0700002,0.3060945,2.0700002,0.295992
2.0800002,0.2415448,2.0800002,0.302412,2.0800002,0.2850189
2.0900002,0.2301763,2.0900002,0.3119,2.0900002,0.2802305
2.1000001,0.2382726,2.1000001,0.3114843,2.1000001,0.2794611
2.1100001,0.2339341,2.1100001,0.3287256,2.1100001,0.2853132
2.1200001,0.232044,2.1200001,0.3312081,2.1200001,0.2781397
2.1300001,0.2340462,2.1300001,0.3325699,2.1300001,0.2736329
2.1400001,0.2432634,2.1400001,0.3194478,2.1400001,0.2952764
2.1500001,0.2435928,2.1500001,0.3361364,2.1500001,0.3126811
2.1600001,0.251394,2.1600001,0.3402575,2.1600001,0.3052506
2.1700001,0.2651403,2.1700001,0.3516646,2.1700001,0.3000926
2.1800001,0.2790247,2.1800001,0.3430002,2.1800001,0.2961384
2.1900001,0.2792142,2.1900001,0.3304763,2.1900001,0.2732125
2.2,0.269297,2.2,0.3412741,2.2,0.2868466
2.21,0.2501023,2.21,0.3217553,2.21,0.2863414
2.22,0.2615875,2.22,0.3125177,2.22,0.2719979
2.23,0.2688536,2.23,0.3118106,2.23,0.265594
2.24,0.2553469,2.24,0.3047096,2.24,0.2816192
2.25,0.2653484,2.25,0.3138453,2.25,0.2929814
2.26,0.2489298,2.26,0.3354648,2.26,0.2809708
2.2700002,0.2533276,2.2700002,0.3216266,2.2700002,0.2566035
2.2800002,0.2825772,2.2800002,0.3052624,2.2800002,0.2585492
2.2900002,0.2552777,2.2900002,0.3090485,2.2900002,0.279312
2.3000002,0.2650199,2.3000002,0.2895831,2.3000002,0.2751855
2.3100002,0.283156,2.3100002,0.2837037,2.3100002,0.2865968
2.3200002,0.2925355,2.3200002,0.2839913,2.3200002,0.2695205
2.3300002,0.2989977,2.3300002,0.302377,2.3300002,0.2839937
2.3400002,0.3007479,2.3400002,0.2992361,2.3400002,0.2802307
2.3500001,0.3069896,2.3500001,0.3053071,2.3500001,0.2601679
2.3600001,0.2931581,2.3600001,0.3144164,2.3600001,0.2588829
2.3700001,0.2869574,2.3700001,0.3090814,2.3700001,0.2610238
2.3800001,0.3159386,2.3800001,0.3372921,2.3800001,0.2726874
2.3900001,0.328117,2.3900001,0.3192578,2.3900001,0.2601147
2.4000001,0.3176456,2.4000001,0.3390535,2.4000001,0.2611796
2.4100001,0.294538,2.4100001,0.3333243,2.4100001,0.2386287
2.4200001,0.2780623,2.4200001,0.3350323,2.4200001,0.2377704
2.4300001,0.2609604,2.4300001,0.338617,2.4300001,0.2844745
2.4400001,0.2434556,2.4400001,0.3055196,2.4400001,0.2673457
2.45,0.2347741,2.45,0.2808655,2.45,0.2576751
2.46,0.2325539,2.46,0.3084975,2.46,0.2801847
2.47,0.2575447,2.47,0.3191044,2.47,0.2608517
2.48,0.2541652,2.48,0.3203755,2.48,0.2762627
2.49,0.251472,2.49,0.3448521,2.49,0.2759438
2.5,0.2421829,2.5,0.2992921,2.5,0.2691148
2.5100002,0.2615445,2.5100002,0.292138,2.5100002,0.2649359
2.5200002,0.2628158,2.5200002,0.2954556,2.5200002,0.2433155
2.5300002,0.2568547,2.5300002,0.283462,2.5300002,0.2712037
2.5400002,0.2493925,2.5400002,0.2730677,2.5400002,0.2508251
2.5500002,0.2569995,2.5500002,0.2926964,2.5500002,0.2570192
2.5600002,0.261987,2.5600002,0.2816908,2.5600002,0.2619648
2.5700002,0.2540107,2.5700002,0.3020645,2.5700002,0.2786182
2.5800002,0.2502668,2.5800002,0.2987595,2.5800002,0.259258
2.5900002,0.2404867,2.5900002,0.2849244,2.5900002,0.257828
2.6000001,0.2216428,2.6000001,0.2912208,2.6000001,0.2625217
2.6100001,0.2356205,2.6100001,0.3029393,2.6100001,0.2623274
2.6200001,0.2255828,2.6200001,0.3071738,2.6200001,0.2827909
2.6300001,0.2300014,2.6300001,0.2906338,2.6300001,0.2841881
2.6400001,0.230206,2.6400001,0.2876141,2.6400001,0.284156
2.6500001,0.2375187,2.6500001,0.3137521,2.6500001,0.2714997
2.6600001,0.2489315,2.6600001,0.3316114,2.6600001,0.2935003
2.6700001,0.2526401,2.6700001,0.3311167,2.6700001,0.2747194
2.6800001,0.2428768,2.6800001,0.3258339,2.6800001,0.2613128
2.6900001,0.2457384,2.6900001,0.3223165,2.6900001,0.2511634
2.7,0.2338045,2.7,0.3214306,2.7,0.2365711
2.71,0.249761,2.71,0.321835,2.71,0.2363256
2.72,0.2615671,2.72,0.3293687,2.72,0.2603361
2.73,0.2518864,2.73,0.3067979,2.73,0.2490873
2.7400002,0.2714997,2.7400002,0.3177585,2.7400002,0.2568271
2.7500002,0.2827943,2.7500002,0.3290644,2.7500002,0.2508956
2.7600002,0.2513019,2.7600002,0.3209557,2.7600002,0.2505569
2.7700002,0.2691694,2.7700002,0.318359,2.7700002,0.2464202
2.7800002,0.2657942,2.7800002,0.317854,2.7800002,0.2563367
2.7900002,0.2595322,2.7900002,0.3466176,2.7900002,0.2553601
2.8000002,0.2516762,2.8000002,0.3589503,2.8000002,0.239559
2.8100002,0.2575939,2.8100002,0.3357924,2.8100002,0.249428
2.8200002,0.2541402,2.8200002,0.3281459,2.8200002,0.2427721
2.8300002,0.2489298,2.8300002,0.3132991,2.8300002,0.2439577
2.8400002,0.2460106,2.8400002,0.3340893,2.8400002,0.2444632
2.8500001,0.2340774,2.8500001,0.3267566,2.8500001,0.2392697
2.8600001,0.2360241,2.8600001,0.3230294,2.8600001,0.2274685
2.8700001,0.2417917,2.8700001,0.3209188,2.8700001,0.2305861
2.8800001,0.2623437,2.8800001,0.3182796,2.8800001,0.2198097
2.8900001,0.2680431,2.8900001,0.32984,2.8900001,0.2205777
2.9000001,0.2501687,2.9000001,0.3421344,2.9000001,0.2389659
2.9100001,0.2574525,2.9100001,0.337303,2.9100001,0.2456261
2.9200001,0.2461237,2.9200001,0.3527042,2.9200001,0.2315999
2.9300001,0.2456845,2.9300001,0.37466,2.9300001,0.2365458
2.9400001,0.2537209,2.9400001,0.340454,2.9400001,0.2332234
2.95,0.265056,2.95,0.3191295,2.95,0.2281408
2.96,0.2568011,2.96,0.322062,2.96,0.2371928
2.97,0.2477728,2.97,0.3047015,2.97,0.2267437
2.9800003,0.256236,2.9800003,0.3362275,2.9800003,0.2360069
2.9900002,0.2589951,2.9900002,0.3340013,2.9900002,0.2220216
3.0000002,0.2531991,3.0000002,0.3274889,3.0000002,0.2271816
3.0100002,0.2541847,3.0100002,0.323406,3.0100002,0.2341959
3.0200002,0.2674427,3.0200002,0.3190975,3.0200002,0.2442944
3.0300002,0.2546541,3.0300002,0.3275178,3.0300002,0.249743
3.0400002,0.2709469,3.0400002,0.3393564,3.0400002,0.2527664
3.0500002,0.2602214,3.0500002,0.3399937,3.0500002,0.2565066
3.0600002,0.2637801,3.0600002,0.3261608,3.0600002,0.2407432
3.0700002,0.2485634,3.0700002,0.3446262,3.0700002,0.2343464
3.0800002,0.2630218,3.0800002,0.3215551,3.0800002,0.2399884
3.0900002,0.2597768,3.0900002,0.3289135,3.0900002,0.2341054
